year,text,href,google_file_id,source_url,export_url,local_path,file_size_bytes,download_status
2016,FAT 300m and 300h Time Trial,https://docs.google.com/spreadsheets/d/17xvXXmLNPa7DiqYG4mFT9l1jnGxJ29KM8NFHl-pJUfU/edit?usp=sharing,17xvXXmLNPa7DiqYG4mFT9l1jnGxJ29KM8NFHl-pJUfU,https://docs.google.com/spreadsheets/d/17xvXXmLNPa7DiqYG4mFT9l1jnGxJ29KM8NFHl-pJUfU/edit?usp=sharing,https://docs.google.com/spreadsheets/d/17xvXXmLNPa7DiqYG4mFT9l1jnGxJ29KM8NFHl-pJUfU/export?format=xlsx,data/downloads/2016_fat_300m_and_300h_time_trial_17xvXXmLNPa7DiqYG4mFT9l1jnGxJ29KM8NFHl-pJUfU.xlsx,7495,skipped_exists
2016,Hand-Held 200m Time Trial,https://docs.google.com/spreadsheets/d/1T-Qr9HOh_AqTC_lMBQpkOtKyGmvIyfOWqrwaLrR8AAQ/edit?usp=sharing,1T-Qr9HOh_AqTC_lMBQpkOtKyGmvIyfOWqrwaLrR8AAQ,https://docs.google.com/spreadsheets/d/1T-Qr9HOh_AqTC_lMBQpkOtKyGmvIyfOWqrwaLrR8AAQ/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1T-Qr9HOh_AqTC_lMBQpkOtKyGmvIyfOWqrwaLrR8AAQ/export?format=xlsx,data/downloads/2016_hand_held_200m_time_trial_1T-Qr9HOh_AqTC_lMBQpkOtKyGmvIyfOWqrwaLrR8AAQ.xlsx,7166,skipped_exists
2016,Hand-Held 300m Time Trial,https://docs.google.com/spreadsheets/d/1_9gkM0Aosv774Cg7P1BJPkbO8FOAO2-CYXi3xEODgiI/edit?usp=sharing,1_9gkM0Aosv774Cg7P1BJPkbO8FOAO2-CYXi3xEODgiI,https://docs.google.com/spreadsheets/d/1_9gkM0Aosv774Cg7P1BJPkbO8FOAO2-CYXi3xEODgiI/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1_9gkM0Aosv774Cg7P1BJPkbO8FOAO2-CYXi3xEODgiI/export?format=xlsx,data/downloads/2016_hand_held_300m_time_trial_1_9gkM0Aosv774Cg7P1BJPkbO8FOAO2-CYXi3xEODgiI.xlsx,7402,skipped_exists
2016,Standing Long Jump,https://docs.google.com/spreadsheets/d/17mu8APnOEsPm8MFnW4q6rmbQ0irdRbvVHkNVVER_Pxs/edit?usp=sharing,17mu8APnOEsPm8MFnW4q6rmbQ0irdRbvVHkNVVER_Pxs,https://docs.google.com/spreadsheets/d/17mu8APnOEsPm8MFnW4q6rmbQ0irdRbvVHkNVVER_Pxs/edit?usp=sharing,https://docs.google.com/spreadsheets/d/17mu8APnOEsPm8MFnW4q6rmbQ0irdRbvVHkNVVER_Pxs/export?format=xlsx,data/downloads/2016_standing_long_jump_17mu8APnOEsPm8MFnW4q6rmbQ0irdRbvVHkNVVER_Pxs.xlsx,8487,skipped_exists
2017,15 YARD BLOCK START INTO A 10 YARD FLY,https://docs.google.com/spreadsheets/d/1wDryQ5h_tRk7gmnKV6uRx-cKoYodbQpzNz6GSdZOgt4/edit?usp=sharing,1wDryQ5h_tRk7gmnKV6uRx-cKoYodbQpzNz6GSdZOgt4,https://docs.google.com/spreadsheets/d/1wDryQ5h_tRk7gmnKV6uRx-cKoYodbQpzNz6GSdZOgt4/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1wDryQ5h_tRk7gmnKV6uRx-cKoYodbQpzNz6GSdZOgt4/export?format=xlsx,data/downloads/2017_15_yard_block_start_into_a_10_yard_fly_1wDryQ5h_tRk7gmnKV6uRx-cKoYodbQpzNz6GSdZOgt4.xlsx,23714,skipped_exists
2017,24-SECOND DRILL ON 178M TRACK,https://docs.google.com/spreadsheets/d/1ieUc8WZnVY8BJNuM8nMikEmZCm0-8ya-0kBsaOV-J8M/edit?usp=sharing,1ieUc8WZnVY8BJNuM8nMikEmZCm0-8ya-0kBsaOV-J8M,https://docs.google.com/spreadsheets/d/1ieUc8WZnVY8BJNuM8nMikEmZCm0-8ya-0kBsaOV-J8M/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1ieUc8WZnVY8BJNuM8nMikEmZCm0-8ya-0kBsaOV-J8M/export?format=xlsx,data/downloads/2017_24_second_drill_on_178m_track_1ieUc8WZnVY8BJNuM8nMikEmZCm0-8ya-0kBsaOV-J8M.xlsx,13618,skipped_exists
2017,450 METER 4x4 PREDICTOR,https://docs.google.com/spreadsheets/d/1r02JdNcz-LJRnbZOy23_c_BthsEv0vrRjildsPtuKws/edit?usp=sharing,1r02JdNcz-LJRnbZOy23_c_BthsEv0vrRjildsPtuKws,https://docs.google.com/spreadsheets/d/1r02JdNcz-LJRnbZOy23_c_BthsEv0vrRjildsPtuKws/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1r02JdNcz-LJRnbZOy23_c_BthsEv0vrRjildsPtuKws/export?format=xlsx,data/downloads/2017_450_meter_4x4_predictor_1r02JdNcz-LJRnbZOy23_c_BthsEv0vrRjildsPtuKws.xlsx,20307,skipped_exists
2017,600 METER 4x4 PREDICTOR,https://docs.google.com/spreadsheets/d/1D7SC7ZF4R8yCZCVqLN3alGU8KtM82vhoaMpP4cS8wM8/edit?usp=sharing,1D7SC7ZF4R8yCZCVqLN3alGU8KtM82vhoaMpP4cS8wM8,https://docs.google.com/spreadsheets/d/1D7SC7ZF4R8yCZCVqLN3alGU8KtM82vhoaMpP4cS8wM8/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1D7SC7ZF4R8yCZCVqLN3alGU8KtM82vhoaMpP4cS8wM8/export?format=xlsx,data/downloads/2017_600_meter_4x4_predictor_1D7SC7ZF4R8yCZCVqLN3alGU8KtM82vhoaMpP4cS8wM8.xlsx,15584,skipped_exists
2017,F.A.T. 20 METER FLY ON CURVE,https://docs.google.com/spreadsheets/d/1_QNmmRG0YRmOVbZXX8i2Fc-Bp2mU5NGxpkzFN29SfEQ/edit?usp=sharing,1_QNmmRG0YRmOVbZXX8i2Fc-Bp2mU5NGxpkzFN29SfEQ,https://docs.google.com/spreadsheets/d/1_QNmmRG0YRmOVbZXX8i2Fc-Bp2mU5NGxpkzFN29SfEQ/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1_QNmmRG0YRmOVbZXX8i2Fc-Bp2mU5NGxpkzFN29SfEQ/export?format=xlsx,data/downloads/2017_f_a_t_20_meter_fly_on_curve_1_QNmmRG0YRmOVbZXX8i2Fc-Bp2mU5NGxpkzFN29SfEQ.xlsx,15845,skipped_exists
2017,F.A.T. 20 YARD FLY,https://docs.google.com/spreadsheets/d/1femi3jbHDDXLppElccArs9LMFpeRTJdy_vm4tRWjV_A/edit?usp=sharing,1femi3jbHDDXLppElccArs9LMFpeRTJdy_vm4tRWjV_A,https://docs.google.com/spreadsheets/d/1femi3jbHDDXLppElccArs9LMFpeRTJdy_vm4tRWjV_A/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1femi3jbHDDXLppElccArs9LMFpeRTJdy_vm4tRWjV_A/export?format=xlsx,data/downloads/2017_f_a_t_20_yard_fly_1femi3jbHDDXLppElccArs9LMFpeRTJdy_vm4tRWjV_A.xlsx,17100,skipped_exists
